0.815445, 0.517852, 0.685131, 0.497650
0.063480, 0.973723, 0.827988, 0.640507
0.267750, 0.604409, 0.970846, 0.783364
0.196704, 0.483222, 0.134111, 0.926221
0.900930, 0.875276, 0.276968, 0.089487
0.981731, 0.240027, 0.419825, 0.232344
0.306351, 0.095720, 0.562682, 0.375201
0.492808, 0.005555, 0.705539, 0.518058
0.263862, 0.607565, 0.848397, 0.660915
0.819359, 0.867628, 0.991254, 0.803772
0.866956, 0.962203, 0.014577, 0.946629
0.549221, 0.217716, 0.157434, 0.109895
0.717867, 0.170166, 0.300292, 0.252752
0.270188, 0.731907, 0.443149, 0.395609
0.737789, 0.817363, 0.586006, 0.538466
0.231588, 0.684378, 0.728863, 0.681323
0.792091, 0.339713, 0.871720, 0.824180
0.942925, 0.843171, 0.034985, 0.967038
0.767571, 0.856249, 0.177843, 0.130303
0.656218, 0.767098, 0.320700, 0.273160
0.596220, 0.736616, 0.463557, 0.416017
0.938670, 0.461710, 0.606414, 0.558874
0.167983, 0.516175, 0.749271, 0.701731
0.264954, 0.980592, 0.892128, 0.844589
0.574648, 0.716834, 0.055394, 0.987446
0.960852, 0.452614, 0.198251, 0.010769
0.339816, 0.583706, 0.341108, 0.153626
0.393041, 0.189180, 0.483965, 0.296484
0.762336, 0.075763, 0.626822, 0.439341
0.130862, 0.666569, 0.769679, 0.582198
0.325483, 0.168612, 0.912537, 0.725055
0.740962, 0.233341, 0.075802, 0.867912
0.639881, 0.862185, 0.218659, 0.031177
0.259719, 0.510744, 0.361516, 0.174035
0.853038, 0.616304, 0.504373, 0.316892
0.690115, 0.884609, 0.647230, 0.459749
0.142108, 0.589450, 0.790088, 0.602606
0.764223, 0.535190, 0.932945, 0.745463
0.757102, 0.945725, 0.096210, 0.888320
0.575213, 0.512064, 0.239067, 0.051586
0.709815, 0.600607, 0.381924, 0.194443
0.543253, 0.945559, 0.524781, 0.337300
0.888565, 0.196208, 0.667639, 0.480157
0.805280, 0.380707, 0.810496, 0.623014
0.297389, 0.627727, 0.953353, 0.765871
0.831812, 0.316605, 0.116618, 0.908729
0.944399, 0.301667, 0.259475, 0.071994
0.012908, 0.387588, 0.402332, 0.214851
0.755015, 0.815688, 0.545190, 0.357708
0.019564, 0.743391, 0.688047, 0.500565
0.953809, 0.799491, 0.830904, 0.643422
0.695869, 0.657776, 0.973761, 0.786279
0.137250, 0.578968, 0.137026, 0.929137
0.704751, 0.250669, 0.279883, 0.092402
0.741740, 0.859054, 0.422741, 0.235259
0.075805, 0.816983, 0.565598, 0.378116
0.368874, 0.013884, 0.708455, 0.520973
0.261592, 0.770349, 0.851312, 0.663831
0.654486, 0.264093, 0.994169, 0.806688
0.500664, 0.974718, 0.017493, 0.949545
0.197802, 0.834475, 0.160350, 0.112810
0.041878, 0.999571, 0.303207, 0.255667
0.437877, 0.961729, 0.446064, 0.398524
0.604221, 0.212352, 0.588921, 0.541382
0.216661, 0.090381, 0.731778, 0.684239
0.319799, 0.851967, 0.874636, 0.827096
0.714883, 0.085405, 0.037901, 0.969953
0.872858, 0.153109, 0.180758, 0.133218
0.553956, 0.160612, 0.323615, 0.276075
0.932659, 0.170630, 0.466472, 0.418933
0.722627, 0.869459, 0.609329, 0.561790
0.387888, 0.171239, 0.752187, 0.704647
0.307839, 0.344489, 0.895044, 0.847504
0.724871, 0.108871, 0.058309, 0.990361
0.648657, 0.118082, 0.201166, 0.013685
0.078736, 0.886951, 0.344023, 0.156542
0.060893, 0.257073, 0.486881, 0.299399
0.742820, 0.913977, 0.629738, 0.442256
0.840534, 0.057130, 0.772595, 0.585113
0.364654, 0.065533, 0.915452, 0.727970
0.434844, 0.457389, 0.078717, 0.870828
0.095220, 0.342907, 0.221574, 0.034093
0.177801, 0.144406, 0.364432, 0.176950
0.956198, 0.005389, 0.507289, 0.319807
0.080652, 0.012985, 0.650146, 0.462664
0.790953, 0.207532, 0.793003, 0.605522
